IDPLAYER,PLAYERNAME,BIRTHDATE,FIRSTNAME,LASTNAME,TEAM,LG,POS,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,RETROID,BREFID,NFBCID,NFBCNAME,ESPNID,ESPNNAME,KFFLNAME,DAVENPORTID,BPID,YAHOOID,YAHOONAME,MSTRBLLNAME,BATS,THROWS,FANTPROSNAME,LASTCOMMAFIRST,ROTOWIREID,FANDUELNAME,FANDUELID,DRAFTKINGSNAME,OTTONEUID,HQID
adamsmi03,Mike Adams,"Jul 29, 1978",Mike,Adams,PHI,NL,P,1937,Mike Adams,430606,Mike Adams,392251,Mike Adams,adamm001,adamsmi03,7332,Mike Adams,5969,Mike Adams,,ADAMS19780729A,31362,7332,Mike Adams,"Adams, Mike",R,R,,"Adams, Mike",,,,,3799,
adlemti01,Tim Adleman,"Nov 13, 1987",Tim,Adleman,CIN,NL,P,10968,Tim Adleman,534947,Tim Adleman,2170252,,,adlemti01,10282,,33962,Tim Adleman,,,65945,,,"Adleman, Tim",R,R,,"Adleman, Tim",,Tim Adleman,70351,"Adleman, Tim",,
adriaeh01,Ehire Adrianza,"Aug 21, 1989",Ehire,Adrianza,SF,NL,SS,8418,Ehire Adrianza,501303,Ehire Adrianza,,,,adriaeh01,,,30471,Ehire Adrianza,,,,,,,B,R,,"Adrianza, Ehire",,,,,,
affelje01,Jeremy Affeldt,"Jun 6, 1979",Jeremy,Affeldt,SF,NL,P,583,Jeremy Affeldt,346793,Jeremy Affeldt,223741,Jeremy Affeldt,affej001,affelje01,6883,Jeremy Affeldt,5061,Jeremy Affeldt,,AFFELDT19790606A,1354,6883,Jeremy Affeldt,"Affeldt, Jeremy",L,L,,"Affeldt, Jeremy",6588,Jeremy Affeldt,5108,,14848,
aguilje01,Jesus Aguilar,"Jun 30, 1990",Jesus,Aguilar,CLE,AL,1B,11342,Jesus Aguilar,542583,Jesus Aguilar,1947830,,,aguilje01,9704,,32132,Jesus Aguilar,,,59871,,,,R,R,,"Aguilar, Jesus",,,,,9974,
ahmedni01,Nick Ahmed,"Mar 15, 1990",Nick,Ahmed,ARI,NL,SS,12147,Nick Ahmed,605113,Nick Ahmed,1959715,Nick Ahmed,ahmen001,ahmedni01,9751,Nick Ahmed,32355,Nick Ahmed,,AHMED19900315A,69508,9751,Nick Ahmed,"Ahmed, Nick",R,R,,"Ahmed, Nick",,Nick Ahmed,21612,Nick Ahmed,18352,4674
alberan01,Andrew Albers,"Oct 6, 1985",Andrew,Albers,MIN,AL,P,7853,Andrew Albers,452027,Andrew Albers,2044380,Andrew Albers,albea001,alberan01,9480,Andrew Albers,32754,Andrew Albers,,ALBERS19851006A,52617,9480,Andrew Albers,"Albers, Andrew",R,L,,"Albers, Andrew",,Andrew Albers,38214,,17594,
alberma01,Matt Albers,"Jan 20, 1983",Matt,Albers,N/A,N/A,P,4300,Matt Albers,458006,Matt Albers,580567,Matt Albers,albem001,alberma01,7820,Matt Albers,28525,Matt Albers,,ALBERS19830120A,31948,7820,Matt Albers,"Albers, Matt",L,R,,"Albers, Matt",,Matt Albers,5587,Matt Albers,513,
albieoz01,Ozzie Albies,"Jan 7, 1997",Ozzie,Albies,ATL,NL,SS,sa830219,Ozhaino Albies,645277,Ozzie Albies,,,,albieoz01,,,33783,Ozzie Albies,,,,,,,B,R,,"Albies, Ozzie",,,,,18397,
albural01,Al Alburquerque,"Jun 10, 1986",Al,Alburquerque,LAA,AL,P,6324,Al Alburquerque,456379,Al Alburquerque,1725468,Al Alburquerque,albua001,albural01,8843,Al Alburquerque,30494,Al Alburquerque,,ALBURQUER19860610A,52489,8843,Al Alburquerque,"Alburquerque, Al",R,R,Al Alburquerque,"Alburquerque, Al",11308,Alberto Alburquerque,12859,Al Alburquerque,2839,
alcanar01,Arismendy Alcantara,"Oct 29, 1991",Arismendy,Alcantara,CIN,NL,OF,10711,Arismendy Alcantara,570489,Arismendy Alcantara,2044523,Arismendy Alcantara,alcaa001,alcanar01,9554,Arismendy Alcantara,32823,Arismendy Alcantara,,ALCANTARA19911029A,66268,9554,Arismendy Alcantara,"Alcantara, Arismendy",B,R,Arismendy Alcantara,"Alcantara, Arismendy",12841,Arismendy Alcantara,38602,,10541,
alfarjo01,Jorge Alfaro,"Jun 11, 1993",Jorge,Alfaro,PHI,NL,C,12180,Jorge Alfaro,595751,Jorge Alfaro,1846227,,,alfarjo01,9631,,31737,Jorge Alfaro,,,68062,,,"Alfaro, Jorge",R,R,,,,,,Jorge Alfaro,,
alforan01,Anthony Alford,"Jul 20, 1994",Anthony,Alford,TOR,AL,OF,sa657953,Anthony Alford,546990,Anthony Alford,,,,alforan01,,,32812,Anthony Alford,,,,,,,R,R,,"Alford, Anthony",,,,,18562,
allenco01,Cody Allen,"Nov 20, 1988",Cody,Allen,CLE,AL,P,12183,Cody Allen,592102,Cody Allen,1953416,Cody Allen,allec002,allenco01,9243,Cody Allen,32188,Cody Allen,,ALLEN19881122A,68494,9243,Cody Allen,"Allen, Cody",R,R,Cody Allen,"Allen, Cody",12627,Cody Allen,17054,Cody Allen,18205,4153
almonab01,Abraham Almonte,"Jun 27, 1989",Abraham,Almonte,CLE,AL,OF,5486,Abraham Almonte,501659,Abraham Almonte,1813191,Abraham Almonte,almoa001,almonab01,9506,Abraham Almonte,31474,Abraham Amonte,,ALMONTE19890627A,50910,9506,Abraham Almonte,"Almonte, Abraham",B,R,Abraham Almonte,"Almonte, Abraham",,Abraham Almonte,14019,Abraham Almonte,4422,4452
almonzo01,Zoilo Almonte,"Jun 10, 1989",Zoilo,Almonte,N/A,N/A,OF,6732,Zoilo Almonte,501660,Zoilo Almonte,1812890,Zoilo Almonte,almoz001,almonzo01,9436,Zoilo Almonte,31469,Zoilo Almonte,Zoilo Almonte,ALMONTE19890610A,50911,9436,Zoilo Almonte,"Almonte, Zoilo",B,R,Zoilo Almonte,"Almonte, Zoilo",,,,,9387,
almoral01,Albert Almora,"Apr 16, 1994",Albert,Almora,CHC,NL,OF,14109,Albert Almora,546991,Albert Almora,2000031,,,almoral01,9553,,32686,Albert Almora,,,70339,,,"Almora, Albert",R,R,,,,,,,,
alonsyo01,Yonder Alonso,"Apr 8, 1987",Yonder,Alonso,OAK,AL,1B,2530,Yonder Alonso,475174,Yonder Alonso,1629156,Yonder Alonso,alony001,alonsyo01,8660,Yonder Alonso,30016,Yonder Alonso,Yonder Alonso,ALONSO19870408A,58012,8660,Yonder Alonso,"Alonso, Yonder",L,R,Yonder Alonso,"Alonso, Yonder",10467,Yonder Alonso,12521,Yonder Alonso,5165,
altheaa01,Aaron Altherr,"Jan 14, 1991",Aaron,Altherr,PHI,NL,OF,11270,Aaron Altherr,571437,Aaron Altherr,2107840,Aaron Altherr,,altheaa01,9734,Aaron Altherr,31738,Aaron Altherr,,,59584,9734,Aaron Altherr,"Altherr, Aaron",R,R,Aaron Altherr,"Altherr, Aaron",,Aaron Altherr,54952,Aaron Altherr,12359,
altuvjo01,Jose Altuve,"May 6, 1990",Jose,Altuve,HOU,AL,2B,5417,Jose Altuve,514888,Jose Altuve,1839905,Jose Altuve,altuj001,altuvjo01,8996,Jose Altuve,31662,Jose Altuve,Jose Altuve,ALTUVE19900506A,55877,8996,Jose Altuve,"Altuve, Jose",R,R,Jose Altuve,"Altuve, Jose",12118,Jose Altuve,14562,Jose Altuve,5918,3863
alvarhe01,Henderson Alvarez,"Apr 18, 1990",Henderson,Alvarez,OAK,AL,P,5669,Henderson Alvarez,506693,Henderson Alvarez,1756627,Henderson Alvarez,alvah001,alvarhe01,9011,Henderson Alvarez,31047,Henderson Alvarez,,ALVAREZ19900418A,55886,9011,Henderson Alvarez,"Alvarez, Henderson",R,R,Henderson Alvarez,"Alvarez, Henderson",11198,Henderson Alvarez,13061,Henderson Alvarez,4979,3884
alvarjo01,Jose Alvarez,"May 6, 1989",Jose,Alvarez,LAA,AL,P,5358,Jose Alvarez,501625,Jose Alvarez,1945280,Jose Alvarez,alvaj003,alvarjo01,9429,Jose Alvarez,32099,Jose Alvarez,,ALVAREZ19890506A,50878,9429,Jose Alvarez,"Alvarez, Jose",R,R,,"Alvarez, Jose",,Jose Alvarez,38007,Jose Alvarez,6145,
alvarpe01,Pedro Alvarez,"Feb 6, 1987",Pedro,Alvarez,BAL,AL,DH,2495,Pedro Alvarez,476883,Pedro Alvarez,1630071,Pedro Alvarez,alvap001,alvarpe01,8645,Pedro Alvarez,29962,Pedro Alvarez,Pedro Alvarez,ALVAREZ19870718A,59218,8645,Pedro Alvarez,"Alvarez, Pedro",L,R,Pedro Alvarez,"Alvarez, Pedro",10199,Pedro Alvarez,11098,Pedro Alvarez,5654,3116
amarial01,Alexi Amarista,"Apr 6, 1989",Alexi,Amarista,SD,NL,2B,9063,Alexi Amarista,506560,Alexi Amarista,1735053,Alexi Amarista,amara001,amarial01,8914,Alexi Amarista,30562,Alexi Amarista,Alexi Amarista,AMARISTA19890406A,55889,8914,Alexi Amarista,"Amarista, Alexi",L,R,Alexi Amarista,"Amarista, Alexi",11377,Alexi Amarista,13014,Alexi Amarista,18083,
ambrihe01,Hector Ambriz,"May 24, 1984",Hector,Ambriz,SD,NL,P,559,Hector Ambriz,459932,Hector Ambriz,1531174,Hector Ambriz,ambrh001,ambrihe01,8697,Hector Ambriz,29795,Hector Ambriz,,AMBRIZ19840524A,52005,8697,Hector Ambriz,"Ambriz, Hector",L,R,,"Ambriz, Hector",,,,,2265,
anderbr04,Brett Anderson,"Feb 1, 1988",Brett,Anderson,LAD,NL,P,8223,Brett Anderson,474463,Brett Anderson,1611137,Brett Anderson,andeb004,anderbr04,8409,Brett Anderson,30041,Brett Anderson,,ANDERSON19880201A,57286,8409,Brett Anderson,"Anderson, Brett",L,L,Brett Anderson,"Anderson, Brett",9287,Brett Anderson,5416,Brett Anderson,2956,3110
anderbr05,Bryan Anderson,"Dec 16, 1986",Bryan,Anderson,OAK,AL,C,9871,Bryan Anderson,457762,Bryan Anderson,593266,Bryan D. Anderson,andeb005,anderbr05,8708,Bryan Anderson,29697,Bryan Anderson,,ANDERSON19861216A,46972,8708,Bryan Anderson,"Anderson, Bryan",L,R,Bryan Anderson,"Anderson, Bryan",,,,,1466,
anderch01,Chase Anderson,"Nov 30, 1987",Chase,Anderson,MIL,NL,P,6895,Chase Anderson,502624,Chase Anderson,2027498,Chase Anderson,andec001,anderch01,9698,Chase Anderson,32690,Chase Anderson,,ANDERSON19871130A,59304,9698,Chase Anderson,"Anderson, Chase",R,R,Chase Anderson,"Anderson, Chase",12419,Chase Anderson,38161,Chase Anderson,5943,4621
anderco01,Cody Anderson,"Sep 14, 1990",Cody,Anderson,CLE,AL,P,12799,Cody Anderson,594736,Cody Anderson,2116982,Cody Anderson,,anderco01,10004,Cody Anderson,33183,Cody Anderson,,,68741,,,"Anderson, Cody",R,R,Cody Anderson,"Anderson, Cody",,Cody Anderson,62982,Cody Anderson,18478,4954
anderla03,Lars Anderson,"Sep 25, 1987",Lars,Anderson,N/A,N/A,1B,9018,Lars Anderson,502249,Lars Anderson,1599165,Lars Anderson,andel002,anderla03,8407,Lars Anderson,29299,Lars Anderson,,ANDERSON19870925A,55897,8407,Lars Anderson,"Anderson, Lars",L,L,,"Anderson, Lars",,,,,2470,
anderti01,Tim Anderson,"Jun 23, 1993",Tim,Anderson,CHW,AL,SS,15172,Tim Anderson,641313,Tim Anderson,2066301,,,anderti01,9897,,33184,Tim Anderson,,,102503,,,,R,R,Tim Anderson,,,,,Tim Anderson,,
anderty01,Tyler Anderson,"Dec 30, 1989",Tyler,Anderson,COL,NL,P,12880,Tyler Anderson,542881,Tyler Anderson,1894636,,,anderty01,10031,,32151,Tyler Anderson,,,65947,,,"Anderson, Tyler",L,L,,"Anderson, Tyler",,,,,,
andinro01,Robert Andino,"Apr 25, 1984",Robert,Andino,MIA,NL,2B,4900,Robert Andino,435180,Robert Andino,546224,Robert Andino,andir001,andinro01,7648,Robert Andino,6414,Robert Andino,,ANDINO19840425A,32118,7648,Robert Andino,"Andino, Robert",R,R,,"Andino, Robert",,,,,774,
andrima01,Matt Andriese,"Aug 28, 1989",Matt,Andriese,TB,AL,P,12022,Matt Andriese,542882,Matt Andriese,2114451,Matt Andriese,,andrima01,9904,Matt Andriese,32549,Matt Andriese,,,69156,9904,Matt Andriese,"Andriese, Matt",R,R,,"Andriese, Matt",,Matt Andriese,21919,Matt Andriese,18315,4872
andruel01,Elvis Andrus,"Aug 26, 1988",Elvis,Andrus,TEX,AL,SS,8709,Elvis Andrus,462101,Elvis Andrus,1099374,Elvis Andrus,andre001,andruel01,8401,Elvis Andrus,29515,Elvis Andrus,Elvis Andrus,ANDRUS19880826A,46980,8401,Elvis Andrus,"Andrus, Elvis",R,R,Elvis Andrus,"Andrus, Elvis",8944,Elvis Andrus,5359,Elvis Andrus,2347,3115
ankieri01,Rick Ankiel,"Jul 19, 1979",Rick,Ankiel,N/A,N/A,OF,1142,Rick Ankiel,150449,Rick Ankiel,22045,Rick Ankiel,ankir001,ankieri01,6320,Rick Ankiel,4159,Rick Ankiel,,ANKIEL19790719A,16692,6320,Rick Ankiel,"Ankiel, Rick",L,L,,"Ankiel, Rick",,,,,822,
annade01,Dean Anna,"Nov 24, 1986",Dean,Anna,STL,NL,SS,8353,Dean Anna,542883,Dean Anna,1741372,Dean Anna,annad001,annade01,9654,Dean Anna,30851,Dean Anna,,ANNA19861124A,58021,9654,Dean Anna,"Anna, Dean",L,R,Dean Anna,"Anna, Dean",,Dean Anna,13952,,6119,
aokino01,Norichika Aoki,"Jan 5, 1982",Norichika,Aoki,HOU,AL,OF,13075,Nori Aoki,493114,Norichika Aoki,1937143,Norichika Aoki,aokin001,aokino01,9094,Norichika Aoki,32053,Nori Aoki,Norichika Aoki,AOKI19820105A,51312,9094,Norichika Aoki,"Aoki, Nori",L,R,Norichika Aoki,"Aoki, Norichika",9587,Norichika Aoki,16930,Norichika Aoki,18151,4035
appelma01,Mark Appel,"Jul 15, 1991",Mark,Appel,N/A,N/A,P,sa501726,Mark Appel,571446,Mark Appel,,,,,,,33141,Mark Appel,,,,,,"Appel, Mark",,,,,,,,Mark Appel,18243,
archech01,Chris Archer,"Sep 26, 1988",Chris,Archer,TB,AL,P,6345,Chris Archer,502042,Chris Archer,1758899,Chris Archer,archc001,archech01,8849,Chris Archer,31003,Chris Archer,,ARCHER19880926A,50101,8849,Chris Archer,"Archer, Chris",R,R,Chris Archer,"Archer, Chris",9400,Chris Archer,12921,Chris Archer,4959,3671
arciaor01,Orlando Arcia,"Aug 4, 1994",Orlando,Arcia,MIL,NL,SS,13185,Orlando Arcia,606115,Orlando Arcia,2041500,,,arciaor01,9871,,32530,Orlando Arcia,,,69600,,,,R,R,Orlando Arcia,"Arcia, Orlando",,,,Orlando Arcia,,
arciaos01,Oswaldo Arcia,"May 9, 1991",Oswaldo,Arcia,N/A,N/A,OF,10306,Oswaldo Arcia,542455,Oswaldo Arcia,1803783,Oswaldo Arcia,arcio001,arciaos01,9342,Oswaldo Arcia,31262,Oswaldo Arcia,Oswaldo Arcia,ARCIA19910509A,59769,9342,Oswaldo Arcia,"Arcia, Oswaldo",L,R,Oswaldo Arcia,"Arcia, Oswaldo",11725,Oswaldo Arcia,17008,Oswaldo Arcia,12046,
arenano01,Nolan Arenado,"Apr 16, 1991",Nolan,Arenado,COL,NL,3B,9777,Nolan Arenado,571448,Nolan Arenado,1755142,Nolan Arenado,arenn001,arenano01,9105,Nolan Arenado,31261,Nolan Arenado,Nolan Arenado,ARENADO19910416A,59586,9105,Nolan Arenado,"Arenado, Nolan",R,R,Nolan Arenado,"Arenado, Nolan",11018,Nolan Arenado,13719,Nolan Arenado,12379,4027
arencjp01,J.P. Arencibia,"Jan 5, 1986",J.P.,Arencibia,TB,AL,C,697,J.P. Arencibia,450317,J.P. Arencibia,1522585,J.P. Arencibia,arenj001,arencjp01,8655,J.P. Arencibia,29537,J.P. Arencibia,J.P. Arencibia,ARENCIBIA19860105A,52678,8655,J.P. Arencibia,"Arencibia, J.P.",R,R,J.P. Arencibia,"Arencibia, J.P.",9844,,,,5662,
ariasjo01,Joaquin Arias,"Sep 21, 1984",Joaquin,Arias,ARI,NL,SS,3817,Joaquin Arias,435078,Joaquin Arias,538911,Joaquin Arias,ariaj001,ariasjo01,7880,Joaquin Arias,28603,Joaquin Arias,Joaquin Arias,ARIAS19840921A,45382,7880,Joaquin Arias,"Arias, Joaquin",R,R,Joaquin Arias,"Arias, Joaquin",7911,Joaquin Arias,5806,Joaquin Arias,6851,
arredjo01,Jose Arredondo,"Mar 30, 1984",Jose,Arredondo,CIN,NL,P,4722,Jose Arredondo,461766,Jose Arredondo,580578,Jose Arredondo,arrej001,arredjo01,8231,Jose Arredondo,29113,Jose Arredondo,,ARREDONDO19840330A,47009,8231,Jose Arredondo,"Arredondo, Jose",R,R,,"Arredondo, Jose",,,,,1163,
arrieja01,Jake Arrieta,"Mar 6, 1986",Jake,Arrieta,CHC,NL,P,4153,Jake Arrieta,453562,Jake Arrieta,1619229,Jake Arrieta,arrij001,arrieja01,8623,Jake Arrieta,30145,Jake Arrieta,,ARRIETA19860306A,52691,8623,Jake Arrieta,"Arrieta, Jake",R,R,Jake Arrieta,"Arrieta, Jake",9790,Jake Arrieta,12306,Jake Arrieta,5706,3388
arroybr01,Bronson Arroyo,"Feb 24, 1977",Bronson,Arroyo,LAD,NL,P,978,Bronson Arroyo,276520,Bronson Arroyo,22106,Bronson Arroyo,arrob001,arroybr01,6498,Bronson Arroyo,4416,Bronson Arroyo,,ARROYO19770224A,702,6498,Bronson Arroyo,"Arroyo, Bronson",R,R,,"Arroyo, Bronson",6469,Bronson Arroyo,5516,,15269,
ascheco01,Cody Asche,"Jun 30, 1990",Cody,Asche,PHI,NL,OF,11997,Cody Asche,605125,Cody Asche,2039891,Cody Asche,aschc001,ascheco01,9477,Cody Asche,32637,Cody Asche,Cody Asche,ASCHE19900630A,69512,9477,Cody Asche,"Asche, Cody",L,R,Cody Asche,"Asche, Cody",12582,Cody Asche,38033,Cody Asche,18217,
asheral01,Alec Asher,"Oct 4, 1991",Alec,Asher,PHI,NL,P,13560,Alec Asher,594742,Alec Asher,,,,asheral01,,,33787,Alec Asher,,,,,,,R,R,,"Asher, Alec",,,,,,
atchisc01,Scott Atchison,"Mar 29, 1976",Scott,Atchison,CLE,AL,P,2642,Scott Atchison,425786,Scott Atchison,293126,Scott Atchison,atchs001,atchisc01,7391,Scott Atchison,4755,Scott Atchison,,ATCHISON19760329A,32273,7391,Scott Atchison,"Atchison, Scott",R,R,Scott Atchison,"Atchison, Scott",8419,Scott Atchison,10980,,924,
atkinga01,Garrett Atkins,"Dec 12, 1979",Garrett,Atkins,N/A,N/A,3B,1790,Garrett Atkins,425548,Garrett Atkins,292231,Garrett Atkins,atkig001,atkinga01,,,5507,Garrett Atkins,,ATKINS19791212A,31576,,,"Atkins, Garrett",R,R,,"Atkins, Garrett",,,,,15287,
aumonph01,Phillippe Aumont,"Jan 7, 1989",Phillippe,Aumont,PHI,NL,P,5362,Phillippe Aumont,518418,Phillippe Aumont,1499971,Phillippe Aumont,aumop001,aumonph01,8643,Phillippe Aumont,29501,Phillippe Aumont,,AUMONT19890107A,57739,8643,Phillippe Aumont,"Aumont, Phillippe",L,R,,"Aumont, Phillippe",,,,Phillippe Aumont,5117,
averyxa01,Xavier Avery,"Jan 1, 1990",Xavier,Avery,SEA,AL,OF,8471,Xavier Avery,542897,Xavier Avery,1741206,Xavier Avery,averx001,averyxa01,9181,Xavier Avery,30827,Xavier Avery,,AVERY19900101A,58035,9181,Xavier Avery,"Avery, Xavier",L,L,Xavier Avery,"Avery, Xavier",,,,,4702,
avilaal01,Alex Avila,"Jan 29, 1987",Alex,Avila,CHW,AL,C,7476,Alex Avila,488671,Alex Avila,1660422,Alex Avila,avila001,avilaal01,8550,Alex Avila,30115,Alex Avila,Alex Avila,AVILA19870129A,58899,8550,Alex Avila,"Avila, Alex",L,R,Alex Avila,"Avila, Alex",10646,Alex Avila,5122,Alex Avila,18069,
avilalu01,Luis Avilan,"Jul 19, 1989",Luis,Avilan,LAD,NL,P,2882,Luis Avilan,501593,Luis Avilan,1812884,Luis Avilan,avill001,avilalu01,9233,Luis Avilan,31465,Luis Avilan,,AVILAN19890719A,50866,9233,Luis Avilan,"Avilan, Luis",L,L,,"Avilan, Luis",,Luis Avilan,13992,Luis Avilan,5744,
avilemi01,Mike Aviles,"Mar 13, 1981",Mike,Aviles,ATL,NL,OF,5986,Mike Aviles,449107,Mike Aviles,490430,Mike Aviles,avilm001,avilemi01,8260,Mike Aviles,29145,Mike Aviles,Mike Aviles,AVILES19810313A,45386,8260,Mike Aviles,"Aviles, Mike",R,R,Mike Aviles,"Aviles, Mike",8036,Mike Aviles,5811,Mike Aviles,748,
axelrdy01,Dylan Axelrod,"Jul 30, 1985",Dylan,Axelrod,CIN,NL,P,9303,Dylan Axelrod,518420,Dylan Axelrod,1600752,Dylan Axelrod,axeld001,axelrdy01,9060,Dylan Axelrod,29727,Dylan Axelrod,,AXELROD19850730A,55929,9060,Dylan Axelrod,"Axelrod, Dylan",R,R,,"Axelrod, Dylan",,,,,4589,
axforjo01,John Axford,"Apr 1, 1983",John,Axford,OAK,AL,P,9059,John Axford,446099,John Axford,1707287,John Axford,axfoj001,axforjo01,8583,John Axford,30378,John Axford,,AXFORD19830401A,55512,8583,John Axford,"Axford, John",R,R,,"Axford, John",11135,,,John Axford,3752,
ayalalu01,Luis Ayala,"Jan 12, 1978",Luis,Ayala,WAS,NL,P,1650,Luis Ayala,425646,Luis Ayala,225309,Luis Ayala,ayall001,ayalalu01,7080,Luis Ayala,5389,Luis Ayala,,AYALA19780112A,16597,7080,Luis Ayala,"Ayala, Luis",R,R,,"Ayala, Luis",,,,,4347,
aybarer01,Erick Aybar,"Jan 14, 1984",Erick,Aybar,DET,AL,SS,4082,Erick Aybar,430947,Erick Aybar,479165,Erick Aybar,aybae001,aybarer01,7744,Erick Aybar,6522,Erick Aybar,Erick Aybar,AYBAR19840114A,32318,7744,Erick Aybar,"Aybar, Erick",B,R,Erick Aybar,"Aybar, Erick",7899,Erick Aybar,5280,Erick Aybar,7161,2277
badenbu01,Burke Badenhop,"Feb 8, 1983",Burke,Badenhop,WAS,NL,P,9736,Burke Badenhop,488674,Burke Badenhop,1473574,Burke Badenhop,badeb001,badenbu01,8215,Burke Badenhop,29090,Burke Badenhop,,BADENHOP19830208A,45681,8215,Burke Badenhop,"Badenhop, Burke",R,R,,"Badenhop, Burke",,,,Burke Badenhop,2197,
baezja01,Javier Baez,"Dec 1, 1992",Javier,Baez,CHC,NL,SS,12979,Javier Baez,595879,Javier Baez,1894628,Javier Baez,baezj001,baezja01,9557,Javier Baez,32127,Javier Baez,Javier Baez,BAEZ19921201A,70387,9557,Javier Baez,"Baez, Javier",R,R,Javier Baez,"Baez, Javier",12135,Javier Baez,21885,Javier Baez,18123,4521
